school,raw_project,canonical_program
University College London,data science,Data Science MSc
University College London,MSc in Data Science,Data Science MSc
University College London,MS Data science,Data Science MSc
University College London,Data Science,Data Science MSc
University College London,MSc in data science,Data Science MSc
University College London,Msc in statistics,Statistics MSc
University College London,MSc in Statistics,Statistics MSc
University College London,statistic,Statistics MSc
University College London,statistics,Statistics MSc
University College London,Msc Medical Statistics and Data Science,Medical Statistics and Data Science MSc
University College London,Msc Medical statistics and data science,Medical Statistics and Data Science MSc
University College London,MSc Medical Statistics and Data Science,Medical Statistics and Data Science MSc
University College London,MSc in Health Data Science,Health Data Science MSc
University College London,MSc Health Data Science,Health Data Science MSc
University College London,health data science,Health Data Science MSc
Imperial College London,Msc in Applied Math,MSc Applied Mathematics
Imperial College London,MSc in Applied Mathematics,MSc Applied Mathematics
Imperial College London,Applied mathematics,MSc Applied Mathematics
Imperial College London,MSc Applied Mathematics,MSc Applied Mathematics
Imperial College London,MSc Applied Mathematics (SCML),MSc Applied Mathematics
Imperial College London,MS AM,MSc Applied Mathematics
Imperial College London,Msc Health Data Analytics and Machine Learning,MSc Health Data Analytics and Machine Learning
Imperial College London,MSc Health Data Analytics and Machine Learning,MSc Health Data Analytics and Machine Learning
Imperial College London,MS Health data science and machine learning,MSc Health Data Analytics and Machine Learning
Imperial College London,MS in Health Data Analytics and Machine Learning,MSc Health Data Analytics and Machine Learning
Imperial College London,ACSE,MSc Applied Computational Science and Engineering
Imperial College London,MSc Applied Computational Science and Engineering,MSc Applied Computational Science and Engineering
Imperial College London,MSc in Applied Computational Science and Engineering,MSc Applied Computational Science and Engineering
Imperial College London,environmental data science and machine learning,MSc Environmental Data Science and Machine Learning
Imperial College London,MSc in Environmental data science and machine learning,MSc Environmental Data Science and Machine Learning
Imperial College London,MSc in Statistic,MSc Statistics
Imperial College London,statistic,MSc Statistics
Imperial College London,MSc in Artificial Intelligence,MSc Artificial Intelligence
Imperial College London,Artificial Intelligence (MSc 1YFT),MSc Artificial Intelligence
University of Cambridge,Applied Mathematics Part 3,MASt in Mathematics (Applied Mathematics)
University of Cambridge,MASt in Mathematics (Applied Mathematics),MASt in Mathematics (Applied Mathematics)
University of Cambridge,Mphil in Population Health Science,MPhil in Population Health Sciences
University of Cambridge,MPhil in Population Health Sciences,MPhil in Population Health Sciences
University of Cambridge,Mphil Population health science (health data science),MPhil in Population Health Sciences
University of Cambridge,phs,MPhil in Population Health Sciences
University of Cambridge,MPhil in Data Intensive Science,MPhil in Data Intensive Science
University of Cambridge,MS DIS,MPhil in Data Intensive Science
University of Cambridge,MPhil in Scientific Computing,MPhil in Scientific Computing
University of Cambridge,MPhil Scientific Computing,MPhil in Scientific Computing
University of Cambridge,PartIII Statistics,MASt in Mathematics (Mathematical Statistics)
University of Cambridge,MSc in statistics,MASt in Mathematics (Mathematical Statistics)
University of Oxford,MSc in Mathematics Science,MSc in Mathematical Sciences (OMMS)
University of Oxford,MS Mathematical Sciences,MSc in Mathematical Sciences (OMMS)
University of Oxford,MSc in Mathematical Sciences,MSc in Mathematical Sciences (OMMS)
University of Oxford,OMMS,MSc in Mathematical Sciences (OMMS)
University of Oxford,MSc in statistics,MSc in Statistical Science
University of Oxford,Msc in Statistical Science,MSc in Statistical Science
University of Oxford,MS Statistics,MSc in Statistical Science
University of Oxford,MS Sta,MSc in Statistical Science
University of Oxford,MSc in Mathematical Computational Finance,MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical and Computational Finance,MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical and Computational Finance.,MSc in Mathematical and Computational Finance
University of Oxford,MSc in Mathematical Modelling and Scientific Computing (MMSC),MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,MSc in Mathematical Modelling and Scientific Computing,MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,MSc in Mathematical Modeling,MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Oxford,Applied Math and Scienfitc Computing,MSc in Mathematical Modelling and Scientific Computing (MMSC)
University of Edinburgh,MSc in Operational Research with Data Science,MSc Operational Research with Data Science
University of Edinburgh,MSc Operational Research with Data Science,MSc Operational Research with Data Science
London School of Economics and Political Science,MSc in Financial Statistics,MSc Statistics (Financial Statistics)
London School of Economics and Political Science,MSc Financial Statistics,MSc Statistics (Financial Statistics)
London School of Economics and Political Science,MSc Operations Research & Analytics运筹学,MSc Operations Research and Analytics
London School of Economics and Political Science,MSc Operations Research and Analytics,MSc Operations Research and Analytics
University of Manchester,Msc Data Science,MSc Data Science
University of Manchester,MSc in Data Science,MSc Data Science
Johns Hopkins University,applied mathematics&statistics,MSE in Applied Mathematics and Statistics
Johns Hopkins University,Applied mathematics and statistics,MSE in Applied Mathematics and Statistics
Johns Hopkins University,MSE applied mathematics and statistics,MSE in Applied Mathematics and Statistics
Johns Hopkins University,MSE Applied Mathematics and Statistics,MSE in Applied Mathematics and Statistics
Johns Hopkins University,MSE in AMS,MSE in Applied Mathematics and Statistics
Johns Hopkins University,applied math&statistics,MSE in Applied Mathematics and Statistics
Johns Hopkins University,Data Science,MS in Data Science
